"";"Gender";"Ever_Married";"Age";"Graduated";"Profession";"Work_Experience";"Spending_Score";"Family_Size";"Var_1";"Segmentation"
"39";"Female";"Yes";28;"Yes";"Artist";8;"Low";2;"Cat_6";"A"
"41";"Female";"No";47;"Yes";"Artist";4;"Low";1;"Cat_6";"B"
"42";"Female";"No";22;"No";"Healthcare";0;"Low";2;"Cat_6";"D"
"43";"Female";"No";27;"Yes";"Artist";14;"Low";3;"Cat_6";"A"
"45";"Male";"Yes";40;"No";"Engineer";8;"Low";1;"Cat_6";"A"
"47";"Male";"Yes";41;"Yes";"Artist";0;"Average";4;"Cat_4";"B"
"49";"Male";"No";19;"No";"Healthcare";0;"Low";4;"Cat_6";"D"
"50";"Female";"No";45;"Yes";"Engineer";1;"Low";1;"Cat_6";"A"
"51";"Female";"Yes";61;"No";"Artist";1;"Average";2;"Cat_2";"B"
"52";"Female";"Yes";36;"Yes";"Artist";1;"Average";2;"Cat_6";"C"
"53";"Male";"Yes";40;"Yes";"Artist";1;"Low";1;"Cat_3";"A"
"54";"Female";"Yes";57;"Yes";"Entertainment";0;"Average";2;"Cat_6";"C"
"55";"Male";"Yes";76;"No";"Marketing";1;"Low";1;"Cat_4";"A"
"56";"Male";"Yes";32;"Yes";"Artist";14;"Average";2;"Cat_6";"B"
"57";"Male";"No";25;"Yes";"Healthcare";9;"Low";4;"Cat_6";"D"
"59";"Female";"Yes";45;"Yes";"Artist";1;"Average";3;"Cat_3";"C"
"61";"Male";"Yes";48;"Yes";"Artist";0;"Average";2;"Cat_6";"C"
"62";"Male";"Yes";55;"Yes";"Artist";9;"Average";2;"Cat_1";"C"
"63";"Male";"Yes";74;"Yes";"Lawyer";0;"High";3;"Cat_6";"D"
"64";"Male";"Yes";56;"Yes";"Lawyer";1;"High";2;"Cat_6";"A"
"65";"Male";"Yes";59;"Yes";"Lawyer";7;"High";2;"Cat_6";"A"
"66";"Male";"No";25;"Yes";"Entertainment";0;"Low";2;"Cat_6";"A"
"67";"Male";"Yes";31;"Yes";"Doctor";0;"Average";2;"Cat_6";"A"
"68";"Male";"No";27;"No";"Artist";8;"Low";4;"Cat_6";"A"
"69";"Male";"Yes";57;"Yes";"Artist";0;"Average";4;"Cat_6";"B"
"71";"Male";"Yes";27;"Yes";"Healthcare";8;"Low";2;"Cat_6";"D"
"72";"Female";"Yes";51;"Yes";"Entertainment";8;"Average";2;"Cat_6";"A"
"73";"Female";"Yes";47;"No";"Artist";0;"Average";5;"Cat_6";"B"
"74";"Female";"No";33;"No";"Healthcare";8;"Low";4;"Cat_6";"D"
"75";"Male";"Yes";56;"Yes";"Artist";0;"Average";4;"Cat_6";"C"
"76";"Female";"No";33;"No";"Homemaker";0;"Low";3;"Cat_6";"B"
"77";"Female";"No";36;"Yes";"Doctor";0;"Low";2;"Cat_6";"D"
"78";"Male";"Yes";51;"No";"Artist";4;"Low";3;"Cat_4";"A"
"79";"Male";"Yes";45;"Yes";"Engineer";2;"Average";2;"Cat_6";"C"
"81";"Male";"No";30;"No";"Healthcare";0;"Low";4;"Cat_6";"C"
"82";"Female";"No";26;"No";"Healthcare";6;"Low";3;"Cat_5";"D"
"83";"Male";"Yes";63;"Yes";"Artist";8;"Low";1;"Cat_6";"A"
"84";"Male";"Yes";35;"No";"Entertainment";8;"Average";4;"Cat_3";"B"
"85";"Female";"No";19;"No";"Marketing";1;"Low";3;"Cat_4";"A"
"86";"Male";"No";32;"No";"Healthcare";7;"Low";5;"Cat_6";"D"
"87";"Male";"Yes";52;"Yes";"Artist";0;"Average";3;"Cat_6";"C"
"88";"Female";"Yes";36;"Yes";"Artist";5;"Low";2;"Cat_6";"C"
"89";"Female";"No";42;"No";"Entertainment";7;"Low";3;"Cat_4";"D"
"90";"Male";"Yes";40;"No";"Doctor";0;"Average";2;"Cat_3";"D"
"91";"Male";"No";39;"Yes";"Entertainment";0;"Low";3;"Cat_1";"B"
"92";"Female";"Yes";47;"Yes";"Artist";1;"Average";4;"Cat_3";"C"
"93";"Female";"Yes";61;"Yes";"Artist";1;"High";2;"Cat_6";"C"
"94";"Male";"Yes";32;"No";"Entertainment";1;"Low";2;"Cat_3";"D"
"95";"Male";"Yes";55;"No";"Artist";0;"Low";1;"Cat_6";"B"
"97";"Female";"No";38;"Yes";"Artist";0;"Low";1;"Cat_6";"D"
"98";"Male";"Yes";63;"Yes";"Artist";0;"High";2;"Cat_6";"C"
"99";"Male";"Yes";58;"Yes";"Doctor";1;"Average";2;"Cat_6";"C"
"100";"Male";"Yes";30;"No";"Engineer";3;"Average";3;"Cat_4";"D"
"101";"Male";"Yes";60;"Yes";"Artist";0;"Average";4;"Cat_6";"C"
"102";"Male";"Yes";68;"No";"Executive";1;"High";7;"Cat_6";"B"
"103";"Male";"Yes";52;"No";"Artist";0;"Low";3;"Cat_4";"A"
"104";"Male";"Yes";38;"No";"Executive";0;"High";5;"Cat_6";"A"
"105";"Female";"Yes";35;"Yes";"Healthcare";10;"Low";2;"Cat_6";"B"
"106";"Male";"No";18;"No";"Doctor";1;"Low";2;"Cat_6";"D"
"107";"Male";"Yes";30;"Yes";"Homemaker";3;"Low";2;"Cat_1";"D"
"108";"Male";"No";86;"No";"Lawyer";1;"Low";1;"Cat_6";"D"
"110";"Male";"No";25;"No";"Healthcare";9;"Low";3;"Cat_6";"D"
"112";"Female";"No";39;"Yes";"Artist";0;"Low";1;"Cat_6";"A"
"114";"Male";"No";47;"Yes";"Artist";1;"Low";1;"Cat_6";"C"
"115";"Male";"Yes";43;"Yes";"Executive";0;"High";3;"Cat_6";"D"
"116";"Male";"Yes";36;"No";"Executive";8;"Average";4;"Cat_1";"B"
"117";"Male";"Yes";80;"No";"Lawyer";1;"Low";1;"Cat_6";"D"
"118";"Male";"No";36;"Yes";"Artist";0;"Low";2;"Cat_2";"C"
"120";"Female";"Yes";37;"Yes";"Artist";1;"High";2;"Cat_7";"A"
"121";"Male";"Yes";46;"Yes";"Executive";0;"High";3;"Cat_6";"C"
"122";"Male";"Yes";55;"No";"Executive";1;"High";4;"Cat_3";"B"
"123";"Female";"Yes";47;"No";"Engineer";9;"Average";4;"Cat_4";"B"
"124";"Female";"No";28;"Yes";"Healthcare";1;"Low";3;"Cat_3";"D"
"125";"Male";"Yes";39;"No";"Entertainment";9;"Low";2;"Cat_3";"D"
"126";"Female";"Yes";27;"No";"Marketing";1;"Low";2;"Cat_6";"A"
"128";"Male";"Yes";72;"Yes";"Artist";0;"Average";2;"Cat_6";"C"
"129";"Female";"Yes";28;"Yes";"Engineer";0;"Low";2;"Cat_6";"A"
"130";"Male";"No";35;"Yes";"Entertainment";8;"Low";5;"Cat_6";"C"
"131";"Male";"Yes";39;"Yes";"Executive";9;"High";5;"Cat_2";"A"
"132";"Female";"Yes";69;"Yes";"Lawyer";0;"High";2;"Cat_6";"C"
"133";"Male";"No";18;"No";"Healthcare";6;"Low";4;"Cat_4";"D"
"135";"Female";"Yes";50;"Yes";"Engineer";1;"High";2;"Cat_4";"B"
"136";"Male";"No";30;"No";"Executive";5;"Low";5;"Cat_6";"A"
"138";"Female";"No";39;"Yes";"Artist";3;"Low";4;"Cat_6";"D"
"139";"Female";"No";29;"No";"Marketing";8;"Low";4;"Cat_6";"D"
"140";"Female";"Yes";37;"Yes";"Artist";4;"Low";4;"Cat_5";"B"
"141";"Female";"Yes";39;"Yes";"Engineer";0;"Average";2;"Cat_6";"A"
"142";"Female";"Yes";48;"Yes";"Artist";0;"Average";5;"Cat_7";"C"
"143";"Female";"No";32;"Yes";"Doctor";0;"Low";3;"Cat_6";"C"
"145";"Female";"Yes";43;"No";"Engineer";0;"Average";5;"Cat_4";"B"
"146";"Male";"No";29;"No";"Marketing";8;"Low";5;"Cat_6";"C"
"147";"Female";"Yes";28;"No";"Engineer";9;"Average";2;"Cat_4";"A"
"148";"Male";"Yes";80;"Yes";"Lawyer";1;"Low";1;"Cat_6";"B"
"149";"Female";"No";28;"Yes";"Healthcare";7;"Low";4;"Cat_6";"D"
"150";"Male";"Yes";71;"Yes";"Artist";6;"Average";3;"Cat_6";"C"
"151";"Male";"Yes";67;"No";"Lawyer";0;"High";9;"Cat_4";"A"
"152";"Female";"No";26;"No";"Engineer";0;"Low";1;"Cat_2";"A"
"153";"Female";"Yes";47;"Yes";"Engineer";0;"Average";2;"Cat_6";"C"
"154";"Female";"Yes";43;"Yes";"Artist";2;"Average";2;"Cat_6";"B"
"155";"Female";"No";27;"Yes";"Healthcare";0;"Low";4;"Cat_6";"C"
"156";"Female";"Yes";45;"Yes";"Marketing";8;"Low";4;"Cat_6";"D"
"157";"Male";"Yes";76;"No";"Executive";1;"Low";1;"Cat_6";"C"
"158";"Female";"Yes";43;"Yes";"Artist";3;"Average";4;"Cat_6";"C"
"159";"Female";"Yes";78;"Yes";"Lawyer";1;"High";2;"Cat_6";"B"
"160";"Male";"Yes";35;"Yes";"Artist";3;"Average";3;"Cat_6";"C"
"161";"Female";"No";49;"Yes";"Artist";1;"Low";1;"Cat_6";"C"
"162";"Female";"No";25;"Yes";"Healthcare";1;"Low";5;"Cat_6";"D"
"163";"Male";"Yes";37;"No";"Executive";0;"Average";5;"Cat_6";"A"
"165";"Male";"Yes";60;"Yes";"Doctor";0;"Average";2;"Cat_6";"C"
"166";"Female";"Yes";45;"Yes";"Artist";5;"Average";3;"Cat_6";"C"
"167";"Female";"Yes";49;"Yes";"Homemaker";9;"Average";3;"Cat_6";"C"
"168";"Male";"No";32;"Yes";"Artist";0;"Low";5;"Cat_6";"D"
"169";"Female";"Yes";40;"Yes";"Artist";0;"Low";3;"Cat_3";"B"
"170";"Male";"Yes";59;"No";"Artist";2;"Average";2;"Cat_4";"C"
"171";"Male";"Yes";48;"Yes";"Artist";3;"Low";5;"Cat_6";"B"
"172";"Male";"Yes";82;"Yes";"Executive";0;"High";2;"Cat_6";"C"
"173";"Female";"Yes";70;"Yes";"Lawyer";0;"Low";2;"Cat_6";"B"
"174";"Male";"No";31;"Yes";"Artist";5;"Low";2;"Cat_6";"B"
"175";"Female";"Yes";72;"Yes";"Lawyer";0;"High";2;"Cat_6";"C"
"176";"Male";"Yes";50;"Yes";"Artist";3;"Average";4;"Cat_6";"C"
"177";"Female";"No";23;"No";"Engineer";11;"Low";1;"Cat_3";"D"
"178";"Female";"No";20;"No";"Healthcare";2;"Low";6;"Cat_6";"D"
"179";"Female";"No";22;"No";"Healthcare";4;"Low";3;"Cat_6";"D"
"180";"Female";"No";31;"Yes";"Engineer";8;"Low";1;"Cat_6";"A"
"181";"Female";"Yes";36;"Yes";"Artist";7;"Average";2;"Cat_6";"C"
"184";"Male";"Yes";40;"Yes";"Artist";4;"Average";4;"Cat_6";"C"
"185";"Female";"No";40;"Yes";"Artist";1;"Low";1;"Cat_6";"A"
"188";"Female";"No";21;"No";"Doctor";1;"Low";3;"Cat_7";"A"
"189";"Female";"Yes";41;"No";"Engineer";4;"Average";2;"Cat_6";"D"
"190";"Male";"Yes";40;"Yes";"Artist";0;"Low";2;"Cat_6";"B"
"191";"Male";"Yes";53;"Yes";"Artist";1;"Average";3;"Cat_6";"B"
"192";"Female";"Yes";42;"Yes";"Artist";5;"Low";2;"Cat_6";"C"
"193";"Male";"Yes";42;"No";"Executive";8;"Low";2;"Cat_6";"D"
"195";"Male";"Yes";59;"Yes";"Artist";7;"Low";2;"Cat_6";"C"
"196";"Male";"Yes";41;"Yes";"Executive";1;"Average";3;"Cat_6";"A"
"197";"Female";"Yes";31;"Yes";"Artist";0;"Average";2;"Cat_6";"A"
"198";"Female";"Yes";49;"Yes";"Artist";1;"High";5;"Cat_6";"B"
"199";"Male";"Yes";67;"Yes";"Executive";1;"Low";2;"Cat_6";"A"
"200";"Male";"Yes";35;"No";"Artist";4;"Average";2;"Cat_6";"B"
"201";"Female";"No";26;"Yes";"Healthcare";0;"Low";3;"Cat_6";"C"
"203";"Female";"Yes";25;"No";"Engineer";6;"Average";8;"Cat_4";"D"
"204";"Female";"Yes";39;"Yes";"Healthcare";4;"Low";2;"Cat_6";"A"
"205";"Male";"Yes";63;"Yes";"Entertainment";0;"Low";2;"Cat_6";"A"
"206";"Male";"No";23;"No";"Healthcare";8;"Low";3;"Cat_6";"D"
"207";"Female";"No";23;"No";"Healthcare";0;"Low";3;"Cat_3";"D"
"208";"Female";"Yes";53;"Yes";"Artist";2;"Low";1;"Cat_6";"C"
"209";"Male";"No";33;"Yes";"Doctor";0;"Low";2;"Cat_6";"B"
"211";"Female";"Yes";69;"Yes";"Engineer";0;"Low";2;"Cat_4";"B"
"212";"Male";"No";37;"Yes";"Artist";2;"Low";1;"Cat_6";"B"
"213";"Female";"No";20;"No";"Marketing";3;"Low";4;"Cat_7";"C"
"215";"Female";"Yes";49;"Yes";"Doctor";1;"Average";4;"Cat_6";"C"
"216";"Male";"No";18;"No";"Healthcare";0;"Low";3;"Cat_3";"D"
"217";"Female";"Yes";52;"Yes";"Doctor";0;"Average";2;"Cat_6";"C"
"222";"Male";"Yes";28;"Yes";"Engineer";0;"Average";2;"Cat_6";"A"
"223";"Female";"No";28;"Yes";"Artist";7;"Low";3;"Cat_6";"A"
"224";"Male";"No";20;"No";"Healthcare";0;"Low";5;"Cat_7";"D"
"225";"Female";"No";27;"No";"Homemaker";8;"Low";1;"Cat_3";"D"
"227";"Male";"Yes";45;"Yes";"Artist";4;"Average";4;"Cat_6";"B"
"228";"Male";"No";25;"Yes";"Healthcare";1;"Low";4;"Cat_4";"B"
"229";"Male";"No";40;"No";"Marketing";1;"Low";1;"Cat_4";"D"
"233";"Female";"Yes";67;"Yes";"Lawyer";0;"High";2;"Cat_6";"B"
"235";"Female";"No";38;"Yes";"Artist";9;"Low";1;"Cat_3";"A"
"236";"Male";"No";28;"No";"Healthcare";0;"Low";4;"Cat_2";"C"
"237";"Female";"No";32;"No";"Healthcare";1;"Low";5;"Cat_7";"B"
"239";"Female";"Yes";56;"No";"Lawyer";1;"High";4;"Cat_4";"B"
"240";"Female";"Yes";53;"Yes";"Artist";1;"Low";2;"Cat_6";"C"
"241";"Male";"Yes";57;"No";"Executive";1;"High";5;"Cat_6";"C"
"242";"Female";"Yes";59;"Yes";"Artist";0;"Average";3;"Cat_6";"C"
"243";"Female";"Yes";25;"Yes";"Healthcare";1;"High";4;"Cat_4";"A"
"244";"Male";"Yes";59;"Yes";"Artist";0;"Average";6;"Cat_6";"C"
"245";"Female";"Yes";36;"Yes";"Artist";0;"Low";4;"Cat_6";"C"
"246";"Male";"Yes";37;"Yes";"Entertainment";7;"Low";2;"Cat_6";"A"
"247";"Male";"No";22;"No";"Doctor";1;"Low";3;"Cat_2";"D"
"248";"Male";"Yes";43;"Yes";"Artist";1;"Low";2;"Cat_6";"B"
"249";"Male";"Yes";41;"Yes";"Artist";1;"Low";2;"Cat_4";"A"
"250";"Female";"No";21;"No";"Engineer";0;"Low";5;"Cat_2";"B"
"252";"Male";"No";38;"Yes";"Doctor";8;"Low";1;"Cat_2";"B"
"254";"Male";"Yes";70;"Yes";"Lawyer";1;"High";3;"Cat_6";"C"
"255";"Female";"No";31;"No";"Engineer";1;"Low";4;"Cat_6";"B"
"256";"Female";"Yes";82;"No";"Lawyer";0;"Average";2;"Cat_6";"A"
"259";"Male";"No";38;"Yes";"Artist";8;"Low";3;"Cat_2";"A"
"260";"Male";"Yes";18;"No";"Executive";0;"High";4;"Cat_6";"A"
"261";"Male";"Yes";50;"Yes";"Artist";6;"Average";3;"Cat_6";"C"
"263";"Female";"Yes";72;"No";"Lawyer";1;"High";3;"Cat_6";"D"
"265";"Female";"No";25;"No";"Homemaker";1;"Low";7;"Cat_4";"B"
"266";"Female";"Yes";75;"No";"Entertainment";2;"High";2;"Cat_2";"D"
"267";"Male";"No";72;"Yes";"Artist";1;"Low";1;"Cat_6";"B"
"268";"Female";"Yes";72;"Yes";"Artist";0;"Average";3;"Cat_4";"C"
"269";"Male";"Yes";36;"Yes";"Entertainment";6;"Low";6;"Cat_4";"A"
"270";"Male";"Yes";40;"Yes";"Artist";1;"Low";2;"Cat_6";"A"
"271";"Female";"No";28;"Yes";"Entertainment";0;"Low";4;"Cat_6";"C"
"272";"Female";"No";28;"Yes";"Doctor";0;"Low";3;"Cat_6";"D"
"274";"Male";"Yes";43;"Yes";"Artist";0;"Low";2;"Cat_4";"B"
"275";"Female";"Yes";35;"Yes";"Artist";1;"Average";2;"Cat_6";"B"
"276";"Male";"Yes";65;"Yes";"Lawyer";1;"High";2;"Cat_6";"B"
"277";"Male";"Yes";52;"Yes";"Executive";7;"High";4;"Cat_4";"C"
"278";"Female";"No";40;"Yes";"Artist";1;"Low";1;"Cat_6";"B"
"279";"Female";"Yes";69;"No";"Engineer";9;"Low";3;"Cat_6";"A"
"280";"Female";"No";22;"No";"Healthcare";3;"Low";3;"Cat_6";"D"
"281";"Male";"Yes";47;"Yes";"Executive";1;"Average";4;"Cat_6";"C"
"282";"Male";"Yes";29;"Yes";"Marketing";1;"High";2;"Cat_3";"A"
"283";"Male";"Yes";46;"Yes";"Artist";1;"Average";3;"Cat_3";"C"
"284";"Male";"No";32;"Yes";"Artist";1;"Low";2;"Cat_6";"A"
"285";"Female";"No";38;"Yes";"Healthcare";0;"Low";1;"Cat_2";"C"
"286";"Male";"Yes";59;"Yes";"Artist";0;"Low";1;"Cat_6";"B"
"287";"Female";"No";26;"Yes";"Entertainment";1;"Low";1;"Cat_6";"D"
"288";"Male";"No";26;"Yes";"Healthcare";1;"Low";2;"Cat_3";"A"
"289";"Male";"No";28;"No";"Marketing";0;"Low";1;"Cat_3";"D"
"290";"Female";"Yes";53;"Yes";"Engineer";1;"Average";3;"Cat_6";"C"
"292";"Male";"No";27;"No";"Doctor";1;"Low";3;"Cat_6";"D"
"294";"Male";"No";26;"No";"Engineer";0;"Low";4;"Cat_4";"D"
"295";"Female";"No";31;"No";"Entertainment";0;"Low";2;"Cat_6";"D"
"296";"Male";"Yes";39;"Yes";"Executive";1;"High";3;"Cat_3";"B"
"297";"Female";"Yes";43;"No";"Engineer";1;"Low";3;"Cat_7";"A"
"298";"Male";"Yes";25;"No";"Doctor";1;"Low";2;"Cat_1";"A"
"299";"Male";"Yes";40;"Yes";"Artist";3;"High";3;"Cat_6";"A"
"300";"Female";"Yes";40;"Yes";"Entertainment";7;"Average";2;"Cat_3";"B"
"303";"Male";"No";27;"Yes";"Healthcare";1;"Low";3;"Cat_6";"D"
"304";"Female";"No";19;"No";"Healthcare";1;"Low";2;"Cat_6";"D"
"305";"Female";"Yes";86;"Yes";"Lawyer";0;"High";2;"Cat_6";"B"
"307";"Female";"Yes";27;"Yes";"Artist";4;"Average";2;"Cat_3";"C"
"308";"Female";"Yes";70;"No";"Doctor";0;"Average";2;"Cat_6";"B"
"309";"Female";"Yes";53;"No";"Engineer";8;"Average";4;"Cat_4";"B"
"314";"Male";"Yes";43;"No";"Executive";0;"High";4;"Cat_6";"A"
"315";"Male";"Yes";36;"No";"Doctor";6;"Low";3;"Cat_6";"A"
"316";"Male";"Yes";74;"Yes";"Lawyer";0;"Low";2;"Cat_6";"C"
"317";"Female";"No";30;"No";"Homemaker";0;"Low";4;"Cat_6";"D"
"318";"Female";"No";37;"Yes";"Artist";5;"Low";2;"Cat_6";"B"
"319";"Female";"No";22;"No";"Marketing";0;"Low";1;"Cat_5";"B"
"320";"Male";"No";19;"No";"Healthcare";0;"Low";4;"Cat_6";"D"
"321";"Male";"Yes";70;"Yes";"Engineer";4;"High";2;"Cat_6";"B"
"322";"Male";"Yes";89;"Yes";"Lawyer";13;"Low";1;"Cat_6";"A"
"324";"Male";"No";25;"Yes";"Doctor";6;"Low";1;"Cat_2";"D"
"325";"Female";"No";45;"Yes";"Artist";4;"Low";1;"Cat_3";"A"
"326";"Female";"No";35;"Yes";"Artist";3;"Low";1;"Cat_4";"A"
"327";"Female";"Yes";37;"No";"Engineer";7;"Low";1;"Cat_4";"D"
"328";"Female";"Yes";39;"No";"Engineer";4;"Average";2;"Cat_6";"B"
"329";"Female";"No";32;"Yes";"Healthcare";1;"Low";5;"Cat_4";"D"
"330";"Female";"Yes";62;"Yes";"Artist";2;"Average";3;"Cat_6";"C"
"331";"Female";"Yes";58;"Yes";"Engineer";0;"Average";4;"Cat_4";"B"
"333";"Male";"No";25;"No";"Healthcare";0;"Low";5;"Cat_6";"C"
"334";"Female";"Yes";56;"Yes";"Artist";0;"Average";4;"Cat_6";"C"
"335";"Female";"No";36;"Yes";"Entertainment";10;"Low";2;"Cat_6";"A"
"336";"Female";"No";30;"No";"Healthcare";8;"Low";3;"Cat_6";"A"
"337";"Male";"No";19;"No";"Healthcare";1;"Low";5;"Cat_6";"D"
"338";"Male";"No";27;"Yes";"Healthcare";0;"Low";2;"Cat_6";"A"
"339";"Female";"No";38;"Yes";"Doctor";14;"Low";1;"Cat_6";"A"
"340";"Male";"Yes";46;"Yes";"Artist";8;"Average";2;"Cat_6";"C"
"341";"Male";"No";29;"Yes";"Artist";3;"Low";1;"Cat_6";"B"
"342";"Male";"Yes";51;"No";"Entertainment";1;"Average";4;"Cat_7";"B"
"343";"Male";"Yes";55;"No";"Artist";0;"Low";1;"Cat_6";"A"
"344";"Female";"Yes";69;"Yes";"Engineer";1;"Low";1;"Cat_3";"A"
"345";"Female";"No";26;"No";"Healthcare";1;"Low";8;"Cat_7";"C"
"346";"Female";"Yes";83;"Yes";"Lawyer";0;"Low";3;"Cat_6";"A"
"347";"Female";"No";39;"Yes";"Healthcare";9;"Low";1;"Cat_6";"D"
"348";"Male";"Yes";35;"Yes";"Artist";9;"Low";1;"Cat_6";"A"
"349";"Male";"Yes";19;"No";"Marketing";2;"High";5;"Cat_6";"C"
"354";"Female";"No";29;"No";"Healthcare";1;"Low";3;"Cat_6";"B"
"355";"Female";"No";26;"No";"Doctor";0;"Low";1;"Cat_6";"D"
"356";"Male";"No";36;"Yes";"Engineer";8;"Low";1;"Cat_6";"A"
"357";"Female";"No";22;"No";"Homemaker";0;"Low";4;"Cat_6";"D"
"358";"Male";"No";19;"No";"Marketing";0;"Low";5;"Cat_6";"A"
"359";"Female";"Yes";20;"Yes";"Lawyer";1;"Average";3;"Cat_3";"A"
"360";"Male";"No";43;"Yes";"Healthcare";3;"Low";3;"Cat_6";"D"
"362";"Male";"No";43;"Yes";"Entertainment";1;"Low";2;"Cat_4";"A"
"363";"Female";"Yes";50;"Yes";"Engineer";4;"High";3;"Cat_6";"B"
"364";"Male";"No";25;"Yes";"Entertainment";1;"Low";2;"Cat_6";"A"
"365";"Male";"Yes";61;"No";"Artist";1;"High";2;"Cat_6";"B"
"366";"Female";"Yes";28;"Yes";"Healthcare";0;"Average";2;"Cat_6";"A"
"367";"Male";"No";38;"Yes";"Artist";1;"Low";1;"Cat_6";"D"
"368";"Male";"No";25;"No";"Executive";12;"Low";3;"Cat_6";"A"
"369";"Female";"No";18;"No";"Healthcare";9;"Low";5;"Cat_4";"D"
"370";"Male";"Yes";43;"Yes";"Entertainment";1;"Average";5;"Cat_5";"C"
"371";"Female";"No";27;"Yes";"Artist";8;"Low";1;"Cat_6";"B"
"372";"Female";"No";60;"Yes";"Entertainment";1;"Low";2;"Cat_6";"D"
"373";"Male";"Yes";75;"Yes";"Lawyer";2;"Low";1;"Cat_6";"D"
"375";"Male";"No";23;"No";"Doctor";6;"Low";4;"Cat_2";"D"
"376";"Male";"No";36;"Yes";"Artist";8;"Low";1;"Cat_6";"A"
"377";"Male";"No";30;"No";"Doctor";1;"Low";1;"Cat_3";"C"
"378";"Male";"Yes";56;"No";"Artist";1;"Average";2;"Cat_6";"C"
"379";"Female";"Yes";52;"Yes";"Artist";2;"Low";2;"Cat_6";"C"
"380";"Male";"Yes";39;"Yes";"Entertainment";0;"Low";1;"Cat_6";"D"
"381";"Female";"No";35;"No";"Artist";5;"Low";1;"Cat_6";"A"
"382";"Male";"Yes";33;"No";"Engineer";0;"Average";2;"Cat_6";"B"
"383";"Female";"No";25;"Yes";"Artist";0;"Low";6;"Cat_6";"A"
"384";"Female";"Yes";27;"Yes";"Artist";0;"Average";2;"Cat_4";"B"
"385";"Male";"Yes";35;"Yes";"Artist";1;"High";3;"Cat_6";"A"
"386";"Female";"Yes";41;"Yes";"Artist";1;"Average";2;"Cat_6";"C"
"388";"Female";"Yes";46;"No";"Artist";8;"Average";2;"Cat_6";"B"
"391";"Female";"No";26;"Yes";"Artist";9;"Low";1;"Cat_6";"A"
"392";"Male";"Yes";43;"Yes";"Doctor";13;"High";2;"Cat_6";"B"
"393";"Female";"Yes";30;"Yes";"Artist";8;"Low";4;"Cat_6";"A"
"394";"Female";"Yes";70;"Yes";"Artist";1;"Average";4;"Cat_6";"C"
"396";"Female";"Yes";89;"No";"Lawyer";3;"High";1;"Cat_6";"D"
"397";"Female";"Yes";42;"No";"Homemaker";6;"High";4;"Cat_6";"B"
"398";"Female";"Yes";37;"Yes";"Entertainment";6;"Average";3;"Cat_4";"A"
