"Versuche";"Fehlversuche";"Regel";"Erkannt"
2;0;"Immer das doppelte der vorherigen Zahl";"Nein"
3;0;"die jeweiligen Zahlen werden x2 genommen";"Nein"
0;0;;
3;0;"Die folgende Zahl ist größer ";"Ja"
2;0;"Das Doppelte der vorangegangenen Zahl";"Nein"
0;0;"*2";"Nein"
0;0;"Verdoppeln";"Nein"
2;0;"Die 1. Zahl wird mit 2 multipliziert, das Ergebnis ebenso und so weiter und so fort";"Nein"
0;0;"x2";"Nein"
2;0;"Verdopplung der vorherigen Zahl";"Nein"
0;0;"16, 32";"Nein"
0;0;;
1;0;"Verdoppelung von Zahl zu Zahl.";"Nein"
2;0;"Zahl *2";"Nein"
1;0;"zweite Zahl ist die doppelte multiplikation von der ersten und die dritte von der zweiten.";"Nein"
4;0;"Zahl sollte größer als die erste sein";"Nein"
2;0;"zahl wird immer mal 2 gerechnet ";"Nein"
3;0;"Die Zahl wird jedes Mal verdoppelt";"Nein"
0;0;"Jede Zahl in der Sequenz ist das Doppelte der vorherigen Zahl.";"Nein"
1;0;"1. Zahl = x, 2. Zahl = x*2, 3. Zahl = (x*2)*2";"Nein"
0;0;"Die nächste Zahl muss größer sein.";"Ja"
10;2;"Jede weitere Zahl muss höher als die vorherige sein";"Ja"
2;0;"Zahl muss größer sein";"Ja"
1;0;"Zahl 1 x 2 = Zahl 2 dann Zahl 2 x 2 = Zahl 3";"Nein"
1;0;"2 Zahl doppelt so hoch";"Nein"
7;1;"Die folgende Zahl muss größer sein";"Ja"
6;0;"Immer die Zahl verdoppeln";"Nein"
5;1;"Die nächste Zahl soll immer höher sein als die vorherige. ";"Ja"
3;1;"Die Zahlenreihenfolge dar nicht kleiner werden";"Nein"
4;2;"die nächste Zahl muss größer sein, als die Zahl zu vor";"Ja"
3;0;"Die nächste Zahl muss größer sein als die vorherige.";"Ja"
5;0;"Die zweite bzw. dritte Zahl, muss immer größer sein, als die davor genannte. ";"Ja"
10;4;"Die Zahlen müssen immer größer werden, also entweder addiert oder multipliziert werden. Die 2. oder 3. Zahl darf nicht kleiner sein, als die davor.";"Ja"
0;0;;
0;0;"x2";"Nein"
0;0;"*2";"Nein"
0;0;"x+2";"Nein"
0;0;;
0;0;;
0;0;"Die folgende Zahl ist größer!";"Ja"
1;0;;
6;1;"Zahl 1 > Zahl 2 > Zahl 3";"Nein"
13;7;"Zahl 1 < Zahl 2 < Zahl 3";"Ja"
4;0;"Zahl plus 2";"Nein"
2;0;"mit 2 multiplizieren";"Nein"
0;0;;
1;0;"die Zahlen werden mit sich selber multipliziert";"Nein"
0;0;"Zahl verdoppeln ";"Nein"
3;0;"Die Zahl wird immer verdoppelt";"Nein"
7;3;"Die Zahlen, welche auf Zahl1 folgen, müssen größer sein als Zahl1.";"Nein"
9;3;"Erste Zahl < Zweite Zahl < Dritte Zahl";"Ja"
8;3;"Zahl 1 < Zahl 2 < Zahl 3";"Ja"
0;0;"computer speichern zahlen Binär";"Nein"
10;1;"Die darauffolgende Zahl muss höher als die Zahl davor sein";"Ja"
0;0;"0+2*2=4*2=8";"Nein"
1;0;"Verdopplung";"Nein"
4;0;"Verdopplung der vorherigen Zahl";"Nein"
2;0;"Die Zahlen verdoppeln sich immer.";"Nein"
2;0;;
0;0;"Verdoppelung";"Nein"
0;0;"10,12,14";"Nein"
0;0;;
2;0;"die nächste Zahl ist immer das Doppelte der vorherigen";"Nein"
1;0;"*2";"Nein"
0;0;"16";"Nein"
0;0;"32";"Nein"
0;0;"verdoppel bei der nächsten Zahl die vorherige.";"Nein"
1;0;"3 6 12";"Nein"
3;0;"*2";"Nein"
0;0;"Die Zahlt verdoppelt sich";"Nein"
1;0;"Die folgende Zahl ist immer das Doppelte von der vorherigen Zahl";"Nein"
0;0;"x*2";"Nein"
3;0;;
1;0;"immer jeweils das doppelte";"Nein"
0;0;"vorherige Zahl mal 2";"Nein"
3;0;;
2;0;"Mit 2 multiplizieren ";"Nein"
2;0;"a*2=a";"Nein"
9;4;"Dritte Zahl > zweite Zahl > erste Zahl";"Ja"
1;0;"2^x";"Nein"
16;7;"Zahlen in aufsteigender Reihenfolge, keine Duplikate";"Ja"
1;0;"Zahl * 2 = Folgezahl";"Nein"
0;0;"Zweier Potenz";"Nein"
2;0;"zweite Zahl ist das doppelte von Zahl 1, Dritte Zahl ist das Doppelte von Zahl 2";"Nein"
0;0;;
1;0;"2 er schritte";"Nein"
4;0;"Die dritte zahl muss immer doppelt so groß sein wie die vorherige";"Nein"
3;0;"Mal 2";"Nein"
5;1;"Zahlen verdoppeln sich jeweils ";"Nein"
3;1;"Die Zahlenreihe wird immer größer";"Ja"
2;0;"x*2";"Nein"
3;0;"Die Zahl wird immer verdoppelt";"Nein"
1;0;"Zahlenfolge gerade zahl mal 2 ";"Nein"
9;4;"Zahl1 < Zahl2 < Zahl3";"Ja"
4;0;"Nächste Zahl wird stets verdoppelt";"Nein"
1;0;"*2";"Nein"
0;0;"2er Potenzen";"Nein"
0;0;"x*2=y";"Nein"
1;0;"(n-1)*2";"Nein"
1;0;"Zahl Mal 2";"Nein"
2;0;"Verdopplung der vorherigen Zahl  (2x)";"Nein"
1;0;"Die Zahl verdoppelt sich ";"Nein"
6;2;"Zahlen aufsteigend ";"Ja"
3;0;"Die Zahlen werden verdoppelt";"Nein"
5;3;"Die erste Zahl ist immer kleiner als die zweite Zahl, die immer kleiner ist als die dritte Zahl";"Ja"
2;1;"Immer +2";"Nein"
2;0;"Zahl 1 wird verdoppelt und ergibt Zahl 2, Zahl 2 wird verdoppelt und ergibt 3";"Nein"
1;0;"Alle geraden mal 2";"Nein"
0;0;;
2;0;"x 2 ";"Nein"
1;0;"immer mal 2";"Nein"
1;0;"2^1 + 2^2 + 2^3";"Nein"
2;0;"die nächste Zahl ist immer das Doppelte der vorherigen";"Nein"
2;0;"n+1 = 2n";"Nein"
2;0;;
17;6;"Die erste Zahl muss kleiner als die zweite, die zweite muss kleiner als die Dritte sein";"Ja"
5;1;;
0;0;"16";"Nein"
0;0;"die zahlen werden immer größer";"Ja"
4;1;"Zahlen sind größer ";"Ja"
0;0;;
0;0;"1 23";"Nein"
0;0;"immer das doppelte";"Nein"
0;0;"Die nächste Zahl ist größer";"Ja"
0;0;"nnn";"Nein"
0;0;;
0;0;"*2";"Nein"
3;0;"Zahl1 + (Zahl1*2)+(Zahl2*2)";"Nein"
1;0;"Die Zahl wird mal 2 gerechnet";"Nein"
0;0;"12";"Nein"
66;28;"Regel: 1. Alle drei Zahlen (Z1, Z2, Z3) können beliebige reelle Zahlen sein, einschließlich positiver, negativer, natürlicher und Dezimalzahlen sein. 2. Keine der Zahlen darf gleich sein. 3. Die dritte Zahl muss größer als die zweite sein, und die zweite Zahl muss größer als die erste sein. Mathematisch: Z1, Z2, Z3 ∈ R,  Z1 ≠ Z2 ≠ Z3 und Z3 > Z2 > Z1.";"Ja"
0;0;"+2x2x2x2";"Nein"
5;1;"Die Zahlenfolge muss aufsteigend sein";"Ja"
1;0;"immer das doppelte";"Nein"
0;0;"*2";"Nein"
2;0;"2x2=4 4x2=8 8x2=16";"Nein"
0;0;"2^x";"Nein"
2;0;"immer +2    ";"Nein"
0;0;"16";"Nein"
0;0;"Doppelte Anzahl";"Nein"
1;0;"Wiederkehrende verdopplung der Zahlen";"Nein"
0;0;"16";"Nein"
0;0;"Zahl_alt * 2 = Zahl_neu";"Nein"
2;0;"Die Regel ist die erste Zahl zu verdoppeln und die dritte zu verdreifachen ";"Nein"
2;1;"Die darauffolgende Zahl ist größer";"Ja"
1;0;;
1;0;;
0;0;;
4;1;"Betrag der Zahl und dann verdoppeln";"Nein"
2;0;"Zahlen verdoppeln";"Nein"
3;0;"Verdopplung";"Nein"
2;0;"Verdoppelung";"Nein"
0;0;"2^n";"Nein"
0;0;"*2";"Nein"
0;0;"16";"Nein"
0;0;;
3;0;"Nachfolgende zahl wird immer verdoppelt ";"Nein"
1;0;"=n*2";"Nein"
3;0;"Immer mal 2 multiplizieren nach der ersten Zahl ";"Nein"
1;0;"+2 x2";"Nein"
0;0;;
1;0;"^2";"Nein"
12;6;"Zahl1<Zahl2<Zahl3";"Ja"
0;0;"*2";"Nein"
3;2;"2er";"Nein"
2;0;"Zahl1 + Zahl1 = Zahl2";"Nein"
3;0;"quadriert";"Nein"
1;0;"²";"Nein"
2;0;"Dritte Zahl ist die zweite Zahl * 2; zweite Zahl ist die erste Zahl * 2";"Nein"
1;0;"multipliziert mit 2";"Nein"
11;4;"Eine Zahl darf nicht mehrfach vorkommen";"Nein"
0;0;"Mal 2";"Nein"
2;0;"Zwei hoch n";"Nein"
0;0;"verdoppeln";"Nein"
1;0;"Verdoppeln";"Nein"
1;0;"Die Folgezahl muss größer sein";"Ja"
3;0;"Die folgende Zahl ist immer das doppelten der vorherigen";"Nein"
0;0;"*2";"Nein"
0;0;"+2";"Nein"
1;0;"2^n";"Nein"
